gwcode,year,cowcode,country,iso2,iso3,un,un_trade_pct_gdp,un_gdp,population,gdpcap,gdp_log,gdpcap_log,population_log,advocacy,entry,funding,entry_std,funding_std,advocacy_std,barriers_total,barriers_total_std,ngo_register,ngo_register_burden,ngo_register_appeal,ngo_barrier_foreign_funds,ngo_disclose_funds,ngo_foreign_fund_approval,ngo_foreign_fund_channel,ngo_foreign_fund_restrict,ngo_foreign_fund_prohibit,ngo_type_foreign_fund_prohibit,ngo_politics,ngo_politics_foreign_fund,laws,PTS,PTS_factor,latent_hr_mean,latent_hr_sd,v2cseeorgs,v2csreprss,v2cscnsult,v2csprtcpt,v2csgender,v2csantimv,v2xcs_ccsi,v2x_freexp,v2x_freexp_altinf,v2clacfree,v2meslfcen,v2csrlgrep,v2mecenefm,v2meharjrn,v2x_civlib,v2x_clphy,v2x_clpriv,v2x_clpol,v2x_polyarchy,v2x_libdem,v2x_regime,v2x_corr,v2x_rule,armed_conflict,armed_conflict_num,pred_group
2,1990,2,United States,US,USA,840,0.19815067353731522,9807263128110.27,252120309,38899.139728209164,29.914144362621222,10.568727414405936,19.345416948215288,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.54524680324318,0.298261381696295,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.969,0.954,3.085,2.603,2.124,2.479,2.26,0.945,0.923,0.942,0.973,0.873,0.802,3,0.056,0.978,FALSE,0,Training
2,1991,2,United States,US,USA,840,0.19786448124097433,9796645872805.22,254539371,38487.742915044844,29.91306118514446,10.558095103743721,19.35496608140074,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,2,Level 2,1.33455633041976,0.287773647395971,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.966,0.949,3.085,2.603,2.124,1.517,2.26,0.946,0.923,0.942,0.97,0.872,0.806,3,0.056,0.978,FALSE,0,Training
2,1992,2,United States,US,USA,840,0.19950594502392288,10141727090031.8,256990608,39463.41529349508,29.94767942404875,10.583129326604114,19.364550097444635,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,2,Level 2,1.29585476477985,0.286431681275066,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.957,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.873,0.809,3,0.056,0.978,FALSE,0,Training
2,1993,2,United States,US,USA,840,0.20044618701975153,10420913048891.6,259532130,40152.689568307396,29.97483577306866,10.600444705133986,19.37439106793467,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.41146705206182,0.290914796183764,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.854,0.784,3,0.056,0.976,FALSE,0,Training
2,1994,2,United States,US,USA,840,0.21055459161745277,10840754864598.6,262241204.00000003,41338.86932809612,30.0143337464711,10.62955848230769,19.38477526416341,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.47723339610967,0.280958273153683,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.858,0.793,3,0.056,0.975,FALSE,0,Training
2,1995,2,United States,US,USA,840,0.22453381649056794,11131751852414.4,265163740.99999997,41980.67130307383,30.04082266796882,10.644964584268061,19.395858083700755,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.51367288149982,0.281765528379541,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.883,0.817,3,0.056,0.975,FALSE,0,Training
2,1996,2,United States,US,USA,840,0.22687071990241198,11551697337938.5,268335007.99999997,43049.535071989194,30.077853497765094,10.670106710076054,19.407746787689042,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.52239513090977,0.288859889754866,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.881,0.816,3,0.053,0.982,FALSE,0,Training
2,1997,2,United States,US,USA,840,0.2342832780261781,12065426309789.2,271713634,44404.935196550345,30.121365148802283,10.70110589531873,19.420259253483554,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.5379145188751,0.277962538912879,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.868,0.808,3,0.053,0.982,FALSE,0,Training
2,1998,2,United States,US,USA,840,0.22825893979763687,12606127235963.9,275175309,45811.25858193876,30.165204100254577,10.7322851604597,19.432918939794877,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.54031494368708,0.286891843906176,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.867,0.807,3,0.053,0.982,FALSE,0,Training
2,1999,2,United States,US,USA,840,0.2327347556445491,13205326212548.6,278548148,47407.697043990396,30.21164136508691,10.76653987939448,19.44510148569243,0,1,0,0.3333333333333333,0,0,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,TRUE,1,Level 1,1.49224414558529,0.299493519988083,2.622,2.723,2.7,2.9,1.542,-2.661,0.964,0.967,0.945,3.085,2.603,2.124,2.458,2.26,0.945,0.923,0.942,0.976,0.864,0.801,3,0.053,0.982,FALSE,0,Training
